,name,repo,issue
142,Replace for-of loop with standard for loop,"Repository(full_name=""preactjs/preact"")","[Issue(title=""Replace for-of loop with standard for loop"", number=4109)]"
143,migrate demo to vite,"Repository(full_name=""preactjs/preact"")","[Issue(title=""migrate demo to vite"", number=3952)]"
144,typescript complains with SignalLike as property boolean on default,"Repository(full_name=""preactjs/preact"")","[Issue(title=""typescript complains with SignalLike as property boolean on default"", number=3934)]"
145,Support Shadow DOM in createPortal(),"Repository(full_name=""preactjs/preact"")","[Issue(title=""Support Shadow DOM in createPortal()"", number=3869)]"
146,Preact doesn't work with react-frame-component,"Repository(full_name=""preactjs/preact"")","[Issue(title=""Preact doesn't work with react-frame-component"", number=2653)]"
147,[FEATURE] Add support for loading EPUB files,"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[FEATURE] Add support for loading EPUB files"", number=3629)]"
148,[FEATURE] how add gemini-1.5-pro-exp-0801,"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[FEATURE] how add gemini-1.5-pro-exp-0801"", number=3026)]"
149,[FEATURE] Can ChatAlibabaTongyi be added to Chat Models?,"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[FEATURE] Can ChatAlibabaTongyi be added to Chat Models?"", number=3005)]"
150,[FEATURE] Implement Metadata Filtering for MongoDB Atlas,"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[FEATURE] Implement Metadata Filtering for MongoDB Atlas"", number=2925)]"
151,[When clicking Plus button to add nodes immediately focus cursor on text area],"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[When clicking Plus button to add nodes immediately focus cursor on text area]"", number=2881)]"
152,"Parameter ""keep_alive"" for Ollama","Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""Parameter ""keep_alive"" for Ollama"", number=2756)]"
153,[FEATURE] Add support for GPT-4o model from Azure OpenAI,"Repository(full_name=""FlowiseAI/Flowise"")","[Issue(title=""[FEATURE] Add support for GPT-4o model from Azure OpenAI"", number=2504)]"
154,🐛 Bug Report: Tooltip not visible in workflow edit module,"Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: Tooltip not visible in workflow edit module"", number=5831)]"
155,🚀 Feature: Add a new provider for sms (Eazy),"Repository(full_name=""novuhq/novu"")","[Issue(title=""🚀 Feature: Add a new provider for sms (Eazy)"", number=5195)]"
156,"🐛 Bug Report: Visual Bug in Workflow Editor with Digests (""every undefinedth month"")","Repository(full_name=""novuhq/novu"")","[Issue(title=""🐛 Bug Report: Visual Bug in Workflow Editor with Digests (""every undefinedth month"")"", number=5132)]"
157,📡 Replace Provider Identifier with Integration Identifier,"Repository(full_name=""novuhq/novu"")","[Issue(title=""📡 Replace Provider Identifier with Integration Identifier"", number=5061)]"
158,[NV-3300] most recent change should be on the top in changes page,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-3300] most recent change should be on the top in changes page"", number=5006)]"
159,[NV-3237] Intercom chat bubble shouldn't be visible,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-3237] Intercom chat bubble shouldn't be visible"", number=4912)]"
160,[NV-3199] feature: add integrationIdentifier field in node sdk,"Repository(full_name=""novuhq/novu"")","[Issue(title=""[NV-3199] feature: add integrationIdentifier field in node sdk"", number=4874)]"
